block,period_ns,cells,seq_cells,area_um2,wns_ns,whs_ns,tns_ns,crit_path_ns,power_total_w,timing_met
conv5x5_row_mac,20,1776,0,15846.448,10.1961,2.1965,0.0000,9.8039,2.0305e-04,yes
conv5x5_row_mac,15,1776,0,15846.448,5.1961,2.1965,0.0000,9.8039,2.7073e-04,yes
conv5x5_row_mac,12,1776,0,15846.448,2.1961,2.1965,0.0000,9.8039,3.3841e-04,yes
conv5x5_row_mac,10,1776,0,15846.448,0.1961,2.1965,0.0000,9.8039,4.0609e-04,yes
conv5x5_row_mac,8,1776,0,15846.448,-1.8039,2.1965,-25.4121,9.8039,5.0761e-04,no
conv5x5_row_mac,6,1776,0,15846.448,-3.8039,2.1965,-71.1587,9.8039,6.7682e-04,no
conv5x5_row_mac,5,1776,0,15846.448,-4.8039,2.1965,-99.1295,9.8039,8.1218e-04,no
conv5x5_row_mac,4,1776,0,15846.448,-5.8039,2.1965,-128.6238,9.8039,1.0152e-03,no
conv5x5_row_mac,3,1776,0,15846.448,-6.8039,2.1965,-159.5226,9.8039,1.3536e-03,no
requantize,20,687,0,4310.384,1.4561,1.8746,0.0000,18.5439,6.0232e-05,yes
requantize,15,687,0,4310.384,-3.5439,1.8746,-25.6113,18.5439,8.0309e-05,no
requantize,12,687,0,4310.384,-6.5439,1.8746,-49.6113,18.5439,1.0039e-04,no
requantize,10,687,0,4310.384,-8.5439,1.8746,-65.6113,18.5439,1.2046e-04,no
requantize,8,687,0,4310.384,-10.5439,1.8746,-81.6113,18.5439,1.5058e-04,no
requantize,6,687,0,4310.384,-12.5439,1.8746,-97.6113,18.5439,2.0077e-04,no
requantize,5,687,0,4310.384,-13.5439,1.8746,-105.6113,18.5439,2.4092e-04,no
requantize,4,687,0,4310.384,-14.5439,1.8746,-113.6113,18.5439,3.0115e-04,no
requantize,3,687,0,4310.384,-15.5439,1.8746,-121.6113,18.5439,4.0154e-04,no
avg_pool2x2_int8,20,128,0,1057.264,14.1587,2.2287,0.0000,5.8413,1.4170e-05,yes
avg_pool2x2_int8,15,128,0,1057.264,9.1587,2.2287,0.0000,5.8413,1.8893e-05,yes
avg_pool2x2_int8,12,128,0,1057.264,6.1587,2.2287,0.0000,5.8413,2.3616e-05,yes
avg_pool2x2_int8,10,128,0,1057.264,4.1587,2.2287,0.0000,5.8413,2.8339e-05,yes
avg_pool2x2_int8,8,128,0,1057.264,2.1587,2.2287,0.0000,5.8413,3.5424e-05,yes
avg_pool2x2_int8,6,128,0,1057.264,0.1587,2.2287,0.0000,5.8413,4.7232e-05,yes
avg_pool2x2_int8,5,128,0,1057.264,-0.8413,2.2287,-4.8254,5.8413,5.6678e-05,no
avg_pool2x2_int8,4,128,0,1057.264,-1.8413,2.2287,-12.8254,5.8413,7.0847e-05,no
avg_pool2x2_int8,3,128,0,1057.264,-2.8413,2.2287,-20.8254,5.8413,9.4463e-05,no
